List of Listed Companies & Contact Information,,,,,,As of 08 May 2023,,,
Symbol,Company,Market,Industry,Sector,Address,Zip code,Tel.,Fax,Website
B52,B-52 CAPITAL PUBLIC COMPANY LIMITED,SET,Services,Commerce,"973 President Tower Building, Unit 7B, 7C, 7D, 7I, 7th Floor, Ploenchit Road, Lumpini, Pathumwan Bangkok",10330,0-2656-0189,0-2656-0189 Ext. 123,www.b52.co.th
BA,BANGKOK AIRWAYS PUBLIC COMPANY LIMITED,SET,Services,Transportation & Logistics,"99 Mu 14, Vibhavadirangsit Rd., Chom Phon, Chatuchak Bangkok",10900,0-2265-5678,0-2265-5500,http://www.bangkokair.com
BAFS,BANGKOK AVIATION FUEL SERVICES PCL.,SET,Resources,Energy & Utilities,"171/2 Kamphaeng Phet 6 Road, Sub-Distict Don Mueang, Khet Don Mueang Bangkok",10210,0-2834-8900,0-2834-8999,www.bafsthai.com
BAM,BANGKOK COMMERCIAL ASSET MANAGEMENT PUBLIC COMPANY LIMITED,SET,Financials,Finance & Securities,"99 Surasak Rd, Silom, Bang Rak Bangkok",10500,0-2267-1900,0-2266-3377,www.bam.co.th
BANPU,BANPU PUBLIC COMPANY LIMITED,SET,Resources,Energy & Utilities,"THANAPOOM TOWER BLDG., FLOOR 27, 1550 NEW PETCHABURI ROAD, MAKKASAN, RATCHATHEWI Bangkok",10400,0-2694-6600,0-2207-0696,http://www.banpu.com
BAREIT,BA Airport Leasehold Real Estate Investment Trust,SET,Property & Construction,Property Fund & REITs,"No.99, Moo 14, Vibhavadi-Rangsit Road, Chom Phon Subdistrict, Chatuchak District Bangkok",-,0-2265-5834,-,www.bareit.co.th
BAY,BANK OF AYUDHYA PUBLIC COMPANY LIMITED,SET,Financials,Banking,"1222 RAMA III ROAD, BANGPHONGPHANG, YAN NAWA Bangkok",10120,"0-2296-2000, 0-2683-1000",0-2683-1304,www.krungsri.com
BBGI,BBGI PUBLIC COMPANY LIMITED,SET,Resources,Energy & Utilities,"2098 M Tower Building, 5th Floor, Sukhumvit Road, Phra Khanong Tai, Phra Khanong Bangkok",10260,0-2335-8814,0-2335-8800,https://www.bbgigroup.com/
BBIK,BLUEBIK GROUP PUBLIC COMPANY LIMITED,mai,Technology,-,"51, Naradhiwas Rajanagarindra Rd., Silom, Bangrak Bangkok",10500,0-2636-7011,-,https://www.bluebik.com
BBL,BANGKOK BANK PUBLIC COMPANY LIMITED,SET,Financials,Banking,"333 SILOM ROAD, BANG RAK Bangkok",10500,0-2231-4333,0-2231-4890,www.bangkokbank.com
BC,BOUTIQUE CORPORATION PUBLIC COMPANY LIMITED,mai,Property & Construction,-,"170/67, 21st floor, Ocean Tower 1, Soi Sukhumvit 16, Ratchadaphisek Road, Klongtoey, Klongtoey Bangkok",10110,0-2620-8777,0-2620-8778,https://www.boutiquecorporation.com
BCH,BANGKOK CHAIN HOSPITAL PUBLIC COMPANY LIMITED,SET,Services,Health Care Services,"44 Moo 4, Pakkred Sub District, Pakkred District Nonthaburi",11120,0-2836-9999,0-2106-4858,www.bangkokchainhospital.com
BCP,BANGCHAK CORPORATION PUBLIC COMPANY LIMITED,SET,Resources,Energy & Utilities,"2098 M Tower Building, 8th Floor, Sukhumvit Rd., Phra Khanong Tai, Phra Khanong Bangkok",10260,0-2335-8888,0-2335-8000,http://www.bangchak.co.th
BCPG,BCPG PUBLIC COMPANY LIMITED,SET,Resources,Energy & Utilities,"M Tower, 12th floor, 2098 Sukhumvit Road, Bangchak, Phrakanong Bangkok",10260,-,-,www.bcpggroup.com
BCT,BIRLA CARBON (THAILAND) PUBLIC COMPANY LIMITED,SET,Industrials,Petrochemicals & Chemicals,"MAHATUN PLAZA BUILDING, FLOOR 12, 888/122,128 PLOENCHIT ROAD, LUMPINI, PATHUM WAN Bangkok",10330,0-2253-6745-54,"0-2254-9031, 0-2253-2812",www.birlacarbon.com
BDMS,BANGKOK DUSIT MEDICAL SERVICES PUBLIC COMPANY LIMITED,SET,Services,Health Care Services,"2 SOI SOONVIJAI 7, NEW PETCHABURI ROAD, BANGKAPI, HUAY KWANG Bangkok",10310,0-2310-3000,"0-2318-1546 , 0-2310-3327",www.bangkokhospital.com
BE8,BERYL 8 PLUS PUBLIC COMPANY LIMITED,mai,Technology,-,"The 9th Tower Grand Rama 9 Building (Tower B), Floor 19, 33/4 Rama 9 Road, Huai Kwang Bangkok",10310,0-2116-5081,-,www.beryl8.com
BEAUTY,BEAUTY COMMUNITY PUBLIC COMPANY LIMITED,SET,Services,Commerce,"50/1-3 Soi Nuanchan 34 nuanchan Road, Nuanchan Subdistrict, Buengkum District Bangkok",10230,0-2946-0700-6,0-2946-1571,WWW.BEAUTYCOMMUNITY.CO.TH
BEC,BEC WORLD PUBLIC COMPANY LIMITED,SET,Services,Media & Publishing,"MALEENONT TOWER, 3199 RAMA IV ROAD, KLONGTON, KHLONG TOEI Bangkok",10110,"0-2204-3333, 0-2262-3333",0-2204-1384,www.becworld.com
BEM,BANGKOK EXPRESSWAY AND METRO PUBLIC COMPANY LIMITED,SET,Services,Transportation & Logistics,"587 Sutthisanvinitchai Rd., Ratchadaphisek, Din Daeng, Bangkok",10400,"0-2641-4611, 0-2354-2000","0-2641-4610, 0-2354-2040",www.bemplc.co.th
BEYOND,BOUND AND BEYOND PUBLIC COMPANY LIMITED,SET,Services,Tourism & Leisure,"No. 130 - 132 Sindhorn Tower 2, 15th Floor, Wireless Road, Lumpini Sub-District, Pathum Wan District Bangkok",10330,0-2028-2626,0-2028-2628,www.boundandbeyond.co.th
